0<=x<30; y0=50+0.6x; interpolation
30<=x<60; y1=84+-0.533333x; interpolation
60<=x<90; y2=16+0.6x; interpolation
90<=x<120; y3=106+-0.4x; interpolation
120<=x<150; y4=22+0.3x; interpolation
150<=x<180; y5=87+-0.133333x; interpolation
180<=x<210; y6=15+0.266667x; interpolation
210<=x<240; y7=113+-0.2x; interpolation
240<=x<270; y8=17+0.2x; interpolation
270<=x<300; y9=107+-0.133333x; interpolation
300<=x<330; y10=187+-0.4x; interpolation
330<=x<360; y11=-44+0.3x; interpolation
360<=x<390; y12=196+-0.366667x; interpolation
390<=x<420; y13=27+0.0666667x; interpolation
420<=x<450; y14=-169+0.533333x; interpolation
450<=x<480; y15=71+0x; interpolation
480<=x<510; y16=327+-0.533333x; interpolation
510<=x<540; y17=89+-0.0666667x; interpolation
540<=x<570; y18=-253+0.566667x; interpolation
570<=x<600; y19=393+-0.566667x; interpolation
600<=x<630; y20=-7+0.1x; interpolation
630<=x<660; y21=98+-0.0666667x; interpolation
660<=x<690; y22=-364+0.633333x; interpolation
690<=x<720; y23=96+-0.0333333x; interpolation
720<=x<750; y24=480+-0.566667x; interpolation
750<=x<780; y25=-395+0.6x; interpolation
780<=x<810; y26=73+0x; interpolation
810<=x<840; y27=73+0x; interpolation
840<=x<870; y28=45+0.0333333x; interpolation
870<=x<900; y29=132+-0.0666667x; interpolation
900<=x<930; y30=42+0.0333333x; interpolation
930<=x<960; y31=42+0.0333333x; interpolation
960<=x<990; y32=106+-0.0333333x; interpolation
990<=x<1020; y33=139+-0.0666667x; interpolation
1020<=x<1050; y34=615+-0.533333x; interpolation
1050<=x<1080; y35=55+0x; interpolation
1080<=x<1110; y36=-521+0.533333x; interpolation
1110<=x<1140; y37=34+0.0333333x; interpolation
1140<=x<1170; y38=72+0x; interpolation
1170<=x<1200; y39=111+-0.0333333x; interpolation
1200<=x<1230; y40=71+0x; interpolation
1230<=x<1260; y41=-11+0.0666667x; interpolation
1260<=x<1290; y42=115+-0.0333333x; interpolation
1290<=x<1320; y43=115+-0.0333333x; interpolation
1320<=x<1350; y44=687+-0.466667x; interpolation
1350<=x<1380; y45=192+-0.1x; interpolation
1380<=x<1410; y46=-38+0.0666667x; interpolation
1410<=x<1440; y47=-649+0.5x; interpolation
1440<=x<1470; y48=-25+0.0666667x; interpolation
1470<=x<1500; y49=24+0.0333333x; interpolation
1500<=x<1530; y50=1124+-0.7x; interpolation
1530<=x<1560; y51=-49+0.0666667x; interpolation
1560<=x<1590; y52=-465+0.333333x; interpolation
1590<=x<1620; y53=-359+0.266667x; interpolation
1620<=x<1650; y54=127+-0.0333333x; interpolation
1650<=x<1680; y55=1007+-0.566667x; interpolation
1680<=x<1710; y56=-841+0.533333x; interpolation
1710<=x<1740; y57=1097+-0.6x; interpolation
1740<=x<1770; y58=-179+0.133333x; interpolation
1770<=x<1800; y59=234+-0.1x; interpolation
1800<=x<1830; y60=-966+0.566667x; interpolation
1830<=x<1860; y61=1047+-0.533333x; interpolation
1860<=x<1890; y62=-7+0.0333333x; interpolation
1890<=x<1920; y63=-1015+0.566667x; interpolation
1920<=x<1950; y64=1097+-0.533333x; interpolation
1950<=x<1980; y65=252+-0.1x; interpolation
1980<=x<2010; y66=-144+0.1x; interpolation
2010<=x<2040; y67=124+-0.0333333x; interpolation
2040<=x<2070; y68=56+0x; interpolation
2070<=x<2100; y69=-979+0.5x; interpolation
2100<=x<2130; y70=281+-0.1x; interpolation
2130<=x<2160; y71=3121+-1.43333x; interpolation
2160<=x<2190; y72=169+-0.0666667x; interpolation
2190<=x<2220; y73=-3408+1.56667x; interpolation
2220<=x<2250; y74=1106+-0.466667x; interpolation
2250<=x<2280; y75=-1069+0.5x; interpolation
2280<=x<2310; y76=1135+-0.466667x; interpolation
2310<=x<2340; y77=-1021+0.466667x; interpolation
2340<=x<2370; y78=-163+0.1x; interpolation
2370<=x<2400; y79=1575+-0.633333x; interpolation
2400<=x<2430; y80=-1385+0.6x; interpolation
2430<=x<2460; y81=235+-0.0666667x; interpolation
2460<=x<2490; y82=1137+-0.433333x; interpolation
2490<=x<2520; y83=224+-0.0666667x; interpolation
2520<=x<2550; y84=-28+0.0333333x; interpolation
2550<=x<2580; y85=-1303+0.533333x; interpolation
2580<=x<2610; y86=245+-0.0666667x; interpolation
2610<=x<2640; y87=1811+-0.666667x; interpolation
2640<=x<2670; y88=-565+0.233333x; interpolation
2670<=x<2700; y89=-1277+0.5x; interpolation
2700<=x<2730; y90=253+-0.0666667x; interpolation
2730<=x<2760; y91=71+0x; interpolation
2760<=x<2790; y92=255+-0.0666667x; interpolation
2790<=x<2820; y93=1371+-0.466667x; interpolation
2820<=x<2850; y94=-227+0.1x; interpolation
2850<=x<2880; y95=-1177+0.433333x; interpolation
2880<=x<2910; y96=1319+-0.433333x; interpolation
2910<=x<2940; y97=-1397+0.5x; interpolation
2940<=x<2970; y98=269+-0.0666667x; interpolation
2970<=x<3000; y99=71+0x; interpolation
3000<=x<3030; y100=71+0x; interpolation
3030<=x<3060; y101=71+0x; interpolation
3060<=x<3090; y102=71+0x; interpolation
3090<=x<3120; y103=-238+0.1x; interpolation
3120<=x<3150; y104=282+-0.0666667x; interpolation
3150<=x<3180; y105=1647+-0.5x; interpolation
3180<=x<3210; y106=-1427+0.466667x; interpolation
3210<=x<3240; y107=1676+-0.5x; interpolation
3240<=x<3270; y108=-160+0.0666667x; interpolation
3270<=x<3300; y109=-1359+0.433333x; interpolation
3300<=x<3330; y110=181+-0.0333333x; interpolation
3330<=x<3360; y111=-263+0.1x; interpolation
3360<=x<3390; y112=-39+0.0333333x; interpolation
3390<=x<3420; y113=74+0x; interpolation
3420<=x<3450; y114=188+-0.0333333x; interpolation
3450<=x<3480; y115=188+-0.0333333x; interpolation
3480<=x<3510; y116=1580+-0.433333x; interpolation
3510<=x<3540; y117=-1462+0.433333x; interpolation
3540<=x<3570; y118=308+-0.0666667x; interpolation
3570<=x<3600; y119=-287+0.1x; interpolation
3600<=x<3630; y120=793+-0.2x; interpolation
3630<=x<3660; y121=-780+0.233333x; interpolation
3660<=x<3690; y122=684+-0.166667x; interpolation
3690<=x<3720; y123=-546+0.166667x; interpolation
3720<=x<3750; y124=446+-0.1x; interpolation
3750<=x<3780; y125=1946+-0.5x; interpolation
3780<=x<3810; y126=-2086+0.566667x; interpolation
3810<=x<3840; y127=73+0x; interpolation
3840<=x<3870; y128=457+-0.1x; interpolation
3870<=x<3900; y129=1876+-0.466667x; interpolation
3900<=x<3930; y130=-74+0.0333333x; interpolation
3930<=x<3960; y131=-2039+0.533333x; interpolation
3960<=x<3990; y132=469+-0.1x; interpolation
3990<=x<4020; y133=2065+-0.5x; interpolation
4020<=x<4050; y134=-213+0.0666667x; interpolation
4050<=x<4080; y135=-1698+0.433333x; interpolation
4080<=x<4110; y136=206+-0.0333333x; interpolation
4110<=x<4140; y137=1713+-0.4x; interpolation
4140<=x<4170; y138=-2151+0.533333x; interpolation
4170<=x<4200; y139=629+-0.133333x; interpolation
4200<=x<4230; y140=2169+-0.5x; interpolation
4230<=x<4260; y141=-2625+0.633333x; interpolation
4260<=x<4290; y142=73+0x; interpolation
4290<=x<4320; y143=2790+-0.633333x; interpolation
4320<=x<4350; y144=-378+0.1x; interpolation
4350<=x<4380; y145=-2408+0.566667x; interpolation
4380<=x<4410; y146=3140+-0.7x; interpolation
4410<=x<4440; y147=4316+-0.966667x; interpolation
4440<=x<4470; y148=-4860+1.1x; interpolation
4470<=x<4500; y149=504+-0.1x; interpolation
4500<=x<4530; y150=-2046+0.466667x; interpolation
4530<=x<4560; y151=-687+0.166667x; interpolation
4560<=x<4590; y152=833+-0.166667x; interpolation
4590<=x<4620; y153=-544+0.133333x; interpolation
4620<=x<4650; y154=688+-0.133333x; interpolation
4650<=x<4680; y155=-707+0.166667x; interpolation
4680<=x<4710; y156=697+-0.133333x; interpolation
4710<=x<4740; y157=-716+0.166667x; interpolation
4740<=x<4770; y158=390+-0.0666667x; interpolation
4770<=x<4800; y159=2775+-0.566667x; interpolation
4800<=x<4830; y160=-2825+0.6x; interpolation
4830<=x<4860; y161=2971+-0.6x; interpolation
4860<=x<4890; y162=-2213+0.466667x; interpolation
4890<=x<4920; y163=2351+-0.466667x; interpolation
4920<=x<4950; y164=-2569+0.533333x; interpolation
4950<=x<4980; y165=2711+-0.533333x; interpolation
4980<=x<5010; y166=-941+0.2x; interpolation
5010<=x<5040; y167=-1609+0.333333x; interpolation
5040<=x<5070; y168=1919+-0.366667x; interpolation
5070<=x<5100; y169=-2137+0.433333x; interpolation
5100<=x<5130; y170=1093+-0.2x; interpolation
5130<=x<5160; y171=2119+-0.4x; interpolation
5160<=x<5190; y172=-3041+0.6x; interpolation
5190<=x<5220; y173=3014+-0.566667x; interpolation
5220<=x<5250; y174=230+-0.0333333x; interpolation
5250<=x<5280; y175=55+0x; interpolation
5280<=x<5310; y176=-825+0.166667x; interpolation
5310<=x<5340; y177=-2241+0.433333x; interpolation
5340<=x<5370; y178=2031+-0.366667x; interpolation
5370<=x<5400; y179=-1728+0.333333x; interpolation
5400<=x<5430; y180=2052+-0.366667x; interpolation
5430<=x<5460; y181=-1749+0.333333x; interpolation
5460<=x<5490; y182=1527+-0.266667x; interpolation
5490<=x<5520; y183=1527+-0.266667x; interpolation
5520<=x<5550; y184=-3257+0.6x; interpolation
5550<=x<5580; y185=2848+-0.5x; interpolation
5580<=x<5610; y186=-2360+0.433333x; interpolation
5610<=x<5640; y187=3063+-0.533333x; interpolation
5640<=x<5670; y188=-3329+0.6x; interpolation
5670<=x<5700; y189=640+-0.1x; interpolation
5700<=x<5730; y190=3300+-0.566667x; interpolation
5730<=x<5760; y191=-3958+0.7x; interpolation
5760<=x<5790; y192=3722+-0.633333x; interpolation
5790<=x<5820; y193=-3612+0.633333x; interpolation
5820<=x<5850; y194=3954+-0.666667x; interpolation
5850<=x<5880; y195=-3846+0.666667x; interpolation
5880<=x<5910; y196=3994+-0.666667x; interpolation
5910<=x<5940; y197=-3492+0.6x; interpolation
5940<=x<5970; y198=-126+0.0333333x; interpolation
5970<=x<6000; y199=471+-0.0666667x; interpolation
6000<=x<6030; y200=3271+-0.533333x; interpolation
6030<=x<6060; y201=-3563+0.6x; interpolation
6060<=x<6090; y202=3911+-0.633333x; interpolation
6090<=x<6120; y203=-3397+0.566667x; interpolation
6120<=x<6150; y204=71+0x; interpolation
6150<=x<6180; y205=71+0x; interpolation
6180<=x<6210; y206=-547+0.1x; interpolation
6210<=x<6240; y207=4007+-0.633333x; interpolation
6240<=x<6270; y208=-3481+0.566667x; interpolation
6270<=x<6300; y209=3416+-0.533333x; interpolation
6300<=x<6330; y210=-2884+0.466667x; interpolation
6330<=x<6360; y211=3235+-0.5x; interpolation
6360<=x<6390; y212=-3549+0.566667x; interpolation
6390<=x<6420; y213=-141+0.0333333x; interpolation
6420<=x<6450; y214=501+-0.0666667x; interpolation
6450<=x<6480; y215=501+-0.0666667x; interpolation
6480<=x<6510; y216=3093+-0.466667x; interpolation
6510<=x<6540; y217=-3851+0.6x; interpolation
6540<=x<6570; y218=3997+-0.6x; interpolation
6570<=x<6600; y219=-3668+0.566667x; interpolation
6600<=x<6630; y220=3812+-0.566667x; interpolation
6630<=x<6660; y221=-166+0.0333333x; interpolation
6660<=x<6690; y222=-3718+0.566667x; interpolation
6690<=x<6720; y223=742+-0.1x; interpolation
6720<=x<6750; y224=3430+-0.5x; interpolation
6750<=x<6780; y225=280+-0.0333333x; interpolation
6780<=x<6810; y226=5704+-0.833333x; interpolation
6810<=x<6840; y227=710+-0.1x; interpolation
6840<=x<6870; y228=-9094+1.33333x; interpolation
6870<=x<6900; y229=-621+0.1x; interpolation
6900<=x<6930; y230=-621+0.1x; interpolation
6930<=x<6960; y231=303+-0.0333333x; interpolation
6960<=x<6990; y232=303+-0.0333333x; interpolation
6990<=x<7020; y233=303+-0.0333333x; interpolation
7020<=x<7050; y234=2175+-0.3x; interpolation
